Ano,Mês,SG_UF_NOT,Quantidade de Casos
2017,8,31,1540
2017,8,32,597
2017,8,33,716
2017,8,35,3071
2017,8,41,1082
2017,8,42,117
2017,8,43,45
2017,8,50,365
2017,8,51,417
2017,8,52,2285
2017,8,53,221
2017,9,11,134
2017,9,12,124
2017,9,13,434
2017,9,14,192
2017,9,15,382
2017,9,16,68
2017,9,17,220
2017,9,21,172
2017,9,22,274
2017,9,23,1576
2017,9,24,599
2017,9,25,323
2017,9,26,1288
2017,9,27,181
2017,9,28,68
2017,9,29,512
2017,9,31,1944
2017,9,32,473
2017,9,33,548
2017,9,35,5536
2017,9,41,1892
2017,9,42,118
2017,9,43,61
2017,9,50,523
2017,9,51,266
2017,9,52,1986
2017,9,53,220
2017,10,11,171
2017,10,12,231
2017,10,13,440
2017,10,14,151
2017,10,15,407
2017,10,16,96
2017,10,17,178
2017,10,21,122
2017,10,22,136
2017,10,23,1158
2017,10,24,614
2017,10,25,379
2017,10,26,1099
2017,10,27,196
2017,10,28,59
2017,10,29,610
2017,10,31,2517
2017,10,32,503
2017,10,33,684
2017,10,35,8054
2017,10,41,2182
2017,10,42,130
2017,10,43,76
2017,10,50,536
2017,10,51,307
2017,10,52,2722
2017,10,53,221
2017,11,11,247
2017,11,12,460
2017,11,13,323
2017,11,14,138
2017,11,15,426
2017,11,16,53
2017,11,17,289
2017,11,21,147
2017,11,22,98
2017,11,23,862
2017,11,24,558
2017,11,25,335
2017,11,26,918
2017,11,27,161
2017,11,28,64
2017,11,29,479
2017,11,31,2602
2017,11,32,482
2017,11,33,759
2017,11,35,6979
2017,11,41,2437
2017,11,42,138
2017,11,43,85
2017,11,50,608
2017,11,51,455
2017,11,52,2580
2017,11,53,200
2017,12,11,291
2017,12,12,825
2017,12,13,339
2017,12,14,81
2017,12,15,365
2017,12,16,46
2017,12,17,337
2017,12,21,154
2017,12,22,145
2017,12,23,574
2017,12,24,480
2017,12,25,269
2017,12,26,956
2017,12,27,161
2017,12,28,24
2017,12,29,462
2017,12,31,3506
2017,12,32,680
2017,12,33,1032
2017,12,35,6828
2017,12,41,2501
2017,12,42,179
2017,12,43,113
2017,12,50,630
2017,12,51,713
2017,12,52,2624
2017,12,53,232
2018,1,11,377
2018,1,12,1250
2018,1,13,608
2018,1,14,107
2018,1,15,849
2018,1,16,104
2018,1,17,572
2018,1,21,246
2018,1,22,269
2018,1,23,1038
2018,1,24,642
2018,1,25,411
2018,1,26,1191
2018,1,27,234
2018,1,28,30
2018,1,29,977
2018,1,31,5638
2018,1,32,887
2018,1,33,2128
2018,1,35,9659
2018,1,41,2831
2018,1,42,275
2018,1,43,191
2018,1,50,850
2018,1,51,1607
2018,1,52,9290
2018,1,53,342
2018,2,11,278
2018,2,12,945
2018,2,13,509
2018,2,14,88
